m49,VariableGroup,Subgroup,Variable,Area,Year,Value,Unit,Symbol,IsAggregate
499,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Montenegro,2020,5.167214679,%,E,false
499,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Montenegro,2021,3.922709813,%,E,false
499,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Montenegro,2022,5.496955198,%,E,false
504,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Morocco,2019,10.19077749,%,I,false
504,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Morocco,2020,10.19077749,%,I,false
504,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Morocco,2021,10.19077749,%,I,false
504,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Morocco,2022,10.19077749,%,I,false
528,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Netherlands (Kingdom of the),2019,23.40124235,%,E,false
528,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Netherlands (Kingdom of the),2020,24.73753913,%,E,false
528,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Netherlands (Kingdom of the),2021,25.94061307,%,E,false
528,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Netherlands (Kingdom of the),2022,26.53174787,%,E,false
807,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,North Macedonia,2019,19.09728736,%,E,false
807,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,North Macedonia,2020,21.21054277,%,E,false
807,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,North Macedonia,2021,19.48462093,%,E,false
807,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,North Macedonia,2022,14.06401105,%,E,false
15,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Northern Africa,2019,13.2293844,%,E,true
15,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Northern Africa,2020,13.22057385,%,E,true
15,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Northern Africa,2021,13.01773701,%,E,true
15,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Northern Africa,2022,13.06338747,%,E,true
21,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Northern America,2019,13.17024782,%,E,true
21,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Northern America,2020,13.17292306,%,E,true
21,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Northern America,2021,13.16888934,%,E,true
21,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Northern America,2022,13.17006811,%,E,true
578,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Norway,2019,28.69486605,%,E,false
578,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Norway,2020,28.6378075,%,E,false
578,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Norway,2021,27.53590299,%,E,false
578,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Norway,2022,28.75867788,%,E,false
616,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Poland,2019,21.65573893,%,E,false
616,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Poland,2020,21.33144984,%,E,false
616,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Poland,2021,21.37743908,%,E,false
616,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Poland,2022,21.48838326,%,E,false
620,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Portugal,2019,14.66242239,%,E,false
620,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Portugal,2020,14.91335139,%,E,false
620,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Portugal,2021,14.91335139,%,E,false
620,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Portugal,2022,14.91335139,%,E,false
410,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Republic of Korea,2019,24.63628979,%,E,false
410,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Republic of Korea,2020,24.63628979,%,E,false
410,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Republic of Korea,2021,24.63628979,%,E,false
410,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Republic of Korea,2022,24.63628979,%,E,false
498,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Republic of Moldova,2019,18.33333333,%,E,false
498,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Republic of Moldova,2020,20,%,E,false
